theme_id,ticker,weight
10,"""047040""",21.03
10,"""000720""",15.77
10,"""034020""",14.81
10,"""083650""",10.64
10,"""052690""",8.81
10,"""032820""",8.53
10,"""044490""",4.91
10,"""015760""",4.06
10,"""051600""",3.44
10,"""028260""",3.16
10,"""014620""",2.65
10,"""105840""",2.18
9,"""010120""",13.34
9,"""010060""",12.66
9,"""298040""",10.28
9,"""009830""",9.43
9,"""034020""",8.18
9,"""267260""",8
9,"""062040""",7.6
9,"""336260""",5.21
9,"""112610""",4.48
9,"""178320""",4
9,"""475150""",2.64
9,"""322000""",2.44
9,"""100090""",2.35
9,"""281740""",2.28
8,"""042700""",24.24
8,"""058470""",15.18
8,"""007660""",12.07
8,"""039030""",11.8
8,"""353200""",10.06
8,"""489790""",8.26
8,"""095340""",6.84
8,"""067310""",5.43
8,"""089030""",4.63
8,"""356860""",1.49
